Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
MORC3,2,2,2,Q14149,1,MORC family CW-type zinc finger protein 3 OS=Homo sapiens OX=9606 GN=MORC3 PE=1 SV=3,MORC3
MORF4L2,8,3,3,Q15014,11,Mortality factor 4-like protein 2 OS=Homo sapiens OX=9606 GN=MORF4L2 PE=1 SV=1,MORF4L2
RAE1,3,2,2,P78406,5,mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1
MRTO4,8,2,2,Q9UKD2,8,mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2,MRTO4
PLOD3,7,4,4,O60568,7,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1,PLOD3
MYBBP1A,114,24,24,Q9BQG0,21,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,MYBBP1A
MYOF,83,41,41,Q9NZM1,26,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,MYOF
MYLK,73,34,34,Q15746,23,"Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4",MYLK
MYL6,39,9,7,P60660,58,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6
MPRIP,10,7,7,Q6WCQ1,10,Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3,MPRIP
MYL12B,73,8,3,O14950,62,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,MYL12B
MYL9,69,8,3,P24844,62,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,MYL9
MYH10,336,64,44,P35580,39,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,MYH10
MYH7,11,3,2,P12883,2,Myosin-7 OS=Homo sapiens OX=9606 GN=MYH7 PE=1 SV=5,MYH7
MYH8,11,3,2,P13535,2,Myosin-8 OS=Homo sapiens OX=9606 GN=MYH8 PE=1 SV=3,MYH8
MYH9,1430,134,113,P35579,62,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,MYH9
MARCKS,9,5,5,P29966,28,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,MARCKS
CMAS,23,7,7,Q8NFW8,18,N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2,CMAS
CYB5R3,5,2,2,P00387,7,NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3,CYB5R3
NACA,39,4,4,Q13765,26,Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1,NACA
SYNE1,5,3,3,Q8NF91,0,Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4,SYNE1
NES,190,44,44,P48681,32,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2,NES
AHNAK,483,144,144,Q09666,52,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,AHNAK
GANAB,23,11,11,Q14697,15,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3,GANAB
SLC1A5,4,2,2,Q15758,5,Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2,SLC1A5
NEXN,24,11,11,Q0ZGT2,17,Nexilin OS=Homo sapiens OX=9606 GN=NEXN PE=1 SV=1,NEXN
SNU13,17,3,3,P55769,25,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,SNU13
NID2,34,18,18,Q14112,18,Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3,NID2
NOMO2,11,6,6,Q5JPE7,6,Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1,NOMO2
HMGN1,86,7,7,P05114,56,Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3,HMGN1
HMGN2,4,2,2,P05204,32,Non-histone chromosomal protein HMG-17 OS=Homo sapiens OX=9606 GN=HMGN2 PE=1 SV=3,HMGN2
NONO,151,17,15,Q15233,37,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,NONO
SP100,18,4,2,P23497,4,Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3,SP100
NCBP1,7,4,4,Q09161,7,Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1,NCBP1
NFIC,13,2,2,P08651,4,Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC PE=1 SV=2,NFIC
NUMA1,150,29,28,Q14980,19,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1
NUP107,2,2,2,P57740,3,Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,NUP107
NUP133,3,2,2,Q8WUM0,3,Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,NUP133
NUP153,4,2,2,P49790,1,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,NUP153
NUP155,9,6,6,O75694,7,Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,NUP155
NUP160,3,2,2,Q12769,2,Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3,NUP160
NUP205,7,4,4,Q92621,3,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,NUP205
NUP88,4,2,2,Q99567,5,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,NUP88
NUP93,4,3,3,Q8N1F7,5,Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2,NUP93
NUP98,2,2,2,P52948,1,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4,NUP98
NCOA5,8,3,3,Q9HCD5,6,Nuclear receptor coactivator 5 OS=Homo sapiens OX=9606 GN=NCOA5 PE=1 SV=2,NCOA5
NOLC1,27,8,8,Q14978,12,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,NOLC1
NOC2L,15,7,7,Q9Y3T9,10,Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,NOC2L
NOC3L,7,3,3,Q8WTT2,6,Nucleolar complex protein 3 homolog OS=Homo sapiens OX=9606 GN=NOC3L PE=1 SV=1,NOC3L
GNL2,10,5,5,Q13823,9,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,GNL2
NOP16,12,5,5,Q9Y3C1,29,Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2,NOP16
NOP56,102,15,15,O00567,32,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,NOP56
NOP58,102,16,16,Q9Y2X3,40,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,NOP58
NOL6,11,6,6,Q9H6R4,7,Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2,NOL6
NOL7,4,2,2,Q9UMY1,7,Nucleolar protein 7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2,NOL7
NOP9,4,2,2,Q86U38,4,Nucleolar protein 9 OS=Homo sapiens OX=9606 GN=NOP9 PE=1 SV=1,NOP9
DDX21,124,22,20,Q9NR30,35,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,DDX21
UBTF,55,11,11,P17480,17,Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1,UBTF
NCL,438,26,26,P19338,33,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,NCL
TIA1,9,4,2,P31483,15,Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3,TIA1
TIAL1,9,4,2,Q01085,17,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1,TIAL1
NPM1,372,14,14,P06748,52,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,NPM1
TPR,38,20,20,P12270,11,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,TPR
NAP1L1,11,3,3,P55209,12,Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1,NAP1L1
NACC1,4,2,2,Q96RE7,5,Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,NACC1
SIN3A,16,7,7,Q96ST3,6,Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,SIN3A
PALLD,64,20,20,Q8WX93,20,Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,PALLD
PSPC1,15,5,4,Q8WXF1,11,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,PSPC1
CCDC47,11,4,4,Q96A33,9,PAT complex subunit CCDC47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1,CCDC47
PSIP1,90,13,13,O75475,28,PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,PSIP1
PDLIM1,55,14,14,O00151,57,PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,PDLIM1
PDLIM2,3,2,2,Q96JY6,6,PDZ and LIM domain protein 2 OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1,PDLIM2
PDLIM4,28,11,11,P50479,52,PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,PDLIM4
PDLIM5,7,6,6,Q96HC4,18,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDLIM5
PDLIM7,66,15,15,Q9NR12,49,PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1,PDLIM7
PPIA,105,7,7,P62937,60,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,PPIA
PPIB,43,10,10,P23284,47,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,PPIB
FKBP10,39,13,13,Q96AY3,25,Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens OX=9606 GN=FKBP10 PE=1 SV=1,FKBP10
FKBP3,11,2,2,Q00688,10,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,FKBP3
FKBP9,8,4,4,O95302,9,Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens OX=9606 GN=FKBP9 PE=1 SV=2,FKBP9
BRPF1,11,7,7,P55201,6,Peregrin OS=Homo sapiens OX=9606 GN=BRPF1 PE=1 SV=2,BRPF1
PWP1,15,6,6,Q13610,16,Periodic tryptophan protein 1 homolog OS=Homo sapiens OX=9606 GN=PWP1 PE=1 SV=1,PWP1
PXDN,11,5,5,Q92626,3,Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2,PXDN
PRDX1,21,6,4,Q06830,35,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1
PRDX2,23,7,6,P32119,31,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,PRDX2
PRDX4,18,7,6,Q13162,37,Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1,PRDX4
PRDX6,38,11,11,P30041,58,Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,PRDX6
PES1,33,7,7,O00541,16,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,PES1
PHF6,5,2,2,Q8IWS0,4,PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1,PHF6
PHF5A,2,2,2,Q7RTV0,26,PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,PHF5A
PHIP,49,15,14,Q8WWQ0,10,PH-interacting protein OS=Homo sapiens OX=9606 GN=PHIP PE=1 SV=2,PHIP
PICALM,18,8,8,Q13492,14,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2,PICALM
PTDSS1,3,2,2,P48651,5,Phosphatidylserine synthase 1 OS=Homo sapiens OX=9606 GN=PTDSS1 PE=1 SV=1,PTDSS1
PGK1,13,5,5,P00558,17,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,PGK1
PGAM1,7,5,5,P18669,20,Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,PGAM1
PLAA,6,2,2,Q9Y263,4,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,PLAA
PPP1R18,5,3,3,Q6NYC8,7,Phostensin OS=Homo sapiens OX=9606 GN=PPP1R18 PE=1 SV=1,PPP1R18
PNN,26,8,8,Q9H307,12,Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,PNN
PKP1,50,12,12,Q13835,17,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,PKP1
ATP2B4,7,3,3,P23634,3,Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2,ATP2B4
SERPINE1,4,2,2,P05121,5,Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 GN=SERPINE1 PE=1 SV=1,SERPINE1
SERBP1,82,12,12,Q8NC51,32,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,SERBP1
PLS3,11,5,5,P13797,11,Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,PLS3
PLEC,1115,238,230,Q15149,57,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC
PARP1,193,29,29,P09874,36,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,PARP1
PCBP1,90,14,9,Q15365,57,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,PCBP1
PCBP2,90,11,6,Q15366,36,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,PCBP2
PUF60,23,9,9,Q9UHX1,24,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,PUF60
PABPC1,67,19,12,P11940,38,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,PABPC1
PABPN1,7,3,3,Q86U42,15,Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3,PABPN1
PABPC4,32,12,5,Q13310,20,Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1,PABPC4
POLDIP3,5,2,2,Q9BY77,7,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,POLDIP3
PTBP1,152,16,16,P26599,47,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1,PTBP1
LMNA,1660,50,48,P02545,65,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA
PRPF19,15,7,6,Q9UMS4,18,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,PRPF19
PRPF40A,10,5,5,O75400,7,Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2,PRPF40A
PRPF6,14,8,8,O94906,8,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,PRPF6
PRPF8,134,44,44,Q6P2Q9,21,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,PRPF8
DHX15,74,14,14,O43143,18,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,DHX15
RBM22,3,2,2,Q9NW64,5,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,RBM22
FTSJ3,66,13,13,Q8IY81,23,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,FTSJ3
TSR1,7,2,2,Q2NL82,3,Pre-rRNA-processing protein TSR1 homolog OS=Homo sapiens OX=9606 GN=TSR1 PE=1 SV=1,TSR1
PAWR,2,2,2,Q96IZ0,8,PRKC apoptosis WT1 regulator protein OS=Homo sapiens OX=9606 GN=PAWR PE=1 SV=1,PAWR
NOP2,82,13,13,P46087,19,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,NOP2
DDX17,241,22,15,Q92841,36,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,DDX17
DDX23,4,3,3,Q9BUQ8,4,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3,DDX23
DDX27,31,8,8,Q96GQ7,10,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2,DDX27
DDX46,15,8,8,Q7L014,10,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,DDX46
DDX47,3,2,2,Q9H0S4,6,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,DDX47
DDX5,235,28,21,P17844,49,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,DDX5
DDX56,5,2,2,Q9NY93,4,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens OX=9606 GN=DDX56 PE=1 SV=1,DDX56
DDX6,9,3,3,P26196,7,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,DDX6
SMARCA1,28,10,2,P28370,8,Probable global transcription activator SNF2L1 OS=Homo sapiens OX=9606 GN=SMARCA1 PE=1 SV=2,SMARCA1
IGKV2D-24,30,4,3,A0A075B6R9,24,Probable non-functional immunoglobulin kappa variable 2D-24 OS=Homo sapiens OX=9606 GN=IGKV2D-24 PE=1 SV=1,IGKV2D-24
EBNA1BP2,30,7,7,Q99848,29,Probable rRNA-processing protein EBP2 OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=2,EBNA1BP2
USP9X,4,3,3,Q93008,1,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=4,USP9X
PCOLCE,4,3,3,Q15113,10,Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens OX=9606 GN=PCOLCE PE=1 SV=2,PCOLCE
COLGALT1,8,6,6,Q8NBJ5,10,Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,COLGALT1
PLOD1,22,12,12,Q02809,20,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens OX=9606 GN=PLOD1 PE=1 SV=2",PLOD1
PLOD2,6,3,3,O00469,5,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2",PLOD2
PFN1,33,6,6,P07737,52,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PFN1
GRN,17,3,3,P28799,4,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,GRN
PIP,27,5,5,P12273,45,Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1,PIP
PCNA,12,3,3,P12004,11,Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1,PCNA
PA2G4,25,6,6,Q9UQ80,18,Proliferation-associated protein 2G4 OS=Homo sapiens OX=9606 GN=PA2G4 PE=1 SV=3,PA2G4
PELP1,10,5,5,Q8IZL8,6,"Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2",PELP1
P3H1,9,7,7,Q32P28,11,Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,P3H1
P4HA1,36,16,16,P13674,35,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2,P4HA1
P4HA2,10,5,5,O15460,12,Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1,P4HA2
PSME3,2,2,2,P61289,9,Proteasome activator complex subunit 3 OS=Homo sapiens OX=9606 GN=PSME3 PE=1 SV=1,PSME3
PSMA1,6,4,4,P25786,19,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,PSMA1
PSMA2,11,5,5,P25787,28,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,PSMA2
PSMA3,14,5,5,P25788,19,Proteasome subunit alpha type-3 OS=Homo sapiens OX=9606 GN=PSMA3 PE=1 SV=2,PSMA3
PSMA4,14,5,5,P25789,28,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,PSMA4
PSMA5,5,3,3,P28066,17,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,PSMA5
PSMA6,2,2,2,P60900,9,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,PSMA6
PSMA7,13,5,5,O14818,28,Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1,PSMA7
PSMB1,9,3,3,P20618,14,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,PSMB1
PSMB2,5,2,2,P49721,9,Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1,PSMB2
PSMB3,19,3,3,P49720,24,Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2,PSMB3
PSMB5,10,4,4,P28074,18,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,PSMB5
PSMB6,6,2,2,P28072,9,Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4,PSMB6
PSMB7,2,2,2,Q99436,7,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,PSMB7
PRMT1,23,6,6,Q99873,19,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,PRMT1
DEK,70,8,8,P35659,24,Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1,DEK
PDIA3,40,17,17,P30101,42,Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4,PDIA3
PDIA4,34,14,14,P13667,27,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,PDIA4
PDIA6,38,14,14,Q15084,41,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6
P4HB,89,22,22,P07237,43,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P4HB
AHCTF1,27,8,8,Q8WYP5,5,Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,AHCTF1
LMAN1,9,3,3,P49257,5,Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2,LMAN1
FAM98A,10,4,4,Q8NCA5,12,Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2,FAM98A
FAM98B,2,2,2,Q52LJ0,8,Protein FAM98B OS=Homo sapiens OX=9606 GN=FAM98B PE=1 SV=2,FAM98B
FLII,2,2,2,Q13045,2,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,FLII
MTDH,36,10,10,Q86UE4,23,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,MTDH
MAGOH,26,8,8,P61326,52,Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1,MAGOH
NIBAN2,8,5,5,Q96TA1,10,Protein Niban 2 OS=Homo sapiens OX=9606 GN=NIBAN2 PE=1 SV=3,NIBAN2
PPP1R12A,25,15,15,O14974,18,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,PPP1R12A
PML,13,7,7,P29590,9,Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3,PML
POF1B,19,8,8,Q8WVV4,17,Protein POF1B OS=Homo sapiens OX=9606 GN=POF1B PE=1 SV=3,POF1B
PBRM1,21,10,10,Q86U86,6,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1,PBRM1
PRRC2C,3,2,2,Q9Y520,1,Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4,PRRC2C
QKI,6,5,4,Q96PU8,17,Protein quaking OS=Homo sapiens OX=9606 GN=QKI PE=1 SV=1,QKI
RCC2,60,10,10,Q9P258,22,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,RCC2
PDCD11,11,7,7,Q14690,5,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,PDCD11
S100A10,9,2,2,P60903,18,Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2,S100A10
S100A11,14,3,3,P31949,32,Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,S100A11
S100A14,12,3,3,Q9HCY8,32,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,S100A14
