Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
HIRA,1017,22,2,2,2,P54198,2,Protein HIRA OS=Homo sapiens GN=HIRA PE=1 SV=2,HIRA,111.8,451,8.07
DNAJB12,375,36,2,2,2,Q9NXW2,9,DnaJ homolog subfamily B member 12 OS=Homo sapiens GN=DNAJB12 PE=1 SV=4,DNAJB12,41.8,450,8.53
TOX4,621,15,2,2,2,O94842,6,TOX high mobility group box family member 4 OS=Homo sapiens GN=TOX4 PE=1 SV=1,TOX4,66.2,449,5.06
BCL9L,1499,19,2,2,2,Q86UU0,2,B-cell CLL/lymphoma 9-like protein OS=Homo sapiens GN=BCL9L PE=1 SV=1,BCL9L,157.0,448,8.63
SMARCC2,1214,40,4,4,3,Q8TAQ2,4,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1,SMARCC2,132.8,445,5.69
ACAT1,427,33,8,8,8,P24752,25,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1",ACAT1,45.2,444,8.85
MB21D1,522,29,4,4,4,Q8N884,12,Cyclic GMP-AMP synthase OS=Homo sapiens GN=MB21D1 PE=1 SV=2,MB21D1,58.8,442,9.48
DCTN2,401,22,3,3,3,Q13561,9,Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4,DCTN2,44.2,436,5.21
PRPF4,522,20,4,4,4,O43172,11,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,PRPF4,58.4,434,7.42
NIPSNAP1,284,43,4,4,4,Q9BPW8,19,Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1,NIPSNAP1,33.3,432,9.31
NO66,641,26,3,3,3,Q9H6W3,8,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 OS=Homo sapiens GN=NO66 PE=1 SV=2,NO66,71.0,427,6.46
RBM5,815,26,5,5,4,P52756,7,RNA-binding protein 5 OS=Homo sapiens GN=RBM5 PE=1 SV=2,RBM5,92.1,426,6.28
TERF2,542,19,5,5,5,Q15554,12,Telomeric repeat-binding factor 2 OS=Homo sapiens GN=TERF2 PE=1 SV=3,TERF2,59.6,424,9.35
EIF4A1,406,72,5,5,3,P60842,11,Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1,EIF4A1,46.1,422,5.48
FAM120C,1096,30,7,7,7,Q9NX05,9,Constitutive coactivator of PPAR-gamma-like protein 2 OS=Homo sapiens GN=FAM120C PE=2 SV=3,FAM120C,120.5,421,9.03
CUL1,776,29,5,5,5,Q13616,8,Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=2,CUL1,89.6,420,8.0
GIGYF1,1035,22,6,6,6,O75420,7,PERQ amino acid-rich with GYF domain-containing protein 1 OS=Homo sapiens GN=GIGYF1 PE=1 SV=2,GIGYF1,114.5,419,5.39
YBEY,167,41,2,2,2,P58557,16,Putative ribonuclease OS=Homo sapiens GN=YBEY PE=1 SV=2,YBEY,19.3,417,7.55
CTNND1,968,26,3,3,3,O60716,4,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1,CTNND1,108.1,415,6.23
FCHO2,810,36,3,3,3,Q0JRZ9,5,FCH domain only protein 2 OS=Homo sapiens GN=FCHO2 PE=1 SV=2,FCHO2,88.9,410,6.86
FYTTD1,318,24,2,2,2,Q96QD9,7,UAP56-interacting factor OS=Homo sapiens GN=FYTTD1 PE=1 SV=3,FYTTD1,35.8,409,11.78
PKM,531,16,4,4,4,P14618,12,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,PKM,57.9,408,7.84
TXN,105,21,3,3,3,P10599,30,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,TXN,11.7,403,4.92
FARSA,508,26,3,3,3,Q9Y285,8,Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3,FARSA,57.5,401,7.8
PICALM,652,12,2,2,2,Q13492,6,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,PICALM,70.7,400,7.9
CSN3,190,25,3,3,3,CONT_P02668,21,Kappa-casein OS=Bos taurus GN=CSN3 PE=1 SV=1,CSN3,21.3,398,6.77
ESCO2,601,19,3,3,3,Q56NI9,5,N-acetyltransferase ESCO2 OS=Homo sapiens GN=ESCO2 PE=1 SV=1,ESCO2,68.3,397,9.39
INCENP,918,17,3,3,3,Q9NQS7,4,Inner centromere protein OS=Homo sapiens GN=INCENP PE=1 SV=3,INCENP,105.4,395,9.44
TCEB2,118,39,3,3,3,Q15370,34,Transcription elongation factor B polypeptide 2 OS=Homo sapiens GN=TCEB2 PE=1 SV=1,TCEB2,13.1,391,4.88
QIL1,118,19,2,2,2,Q5XKP0,22,Protein QIL1 OS=Homo sapiens GN=QIL1 PE=1 SV=1,QIL1,13.1,386,9.42
GALNT2,571,47,7,7,7,Q10471,18,Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1,GALNT2,64.7,384,8.35
NDUFS7,213,20,2,2,2,O75251,7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=3",NDUFS7,23.5,381,9.99
EIF5B,1220,22,2,2,2,O60841,2,Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4,EIF5B,138.7,379,5.49
UBE2G2,165,34,2,2,2,P60604,28,Ubiquitin-conjugating enzyme E2 G2 OS=Homo sapiens GN=UBE2G2 PE=1 SV=1,UBE2G2,18.6,379,4.7
FUBP3,572,27,5,5,5,Q96I24,16,Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,FUBP3,61.6,378,8.38
NDUFS1,727,20,3,3,3,P28331,7,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",NDUFS1,79.4,375,6.23
SUN2,717,26,3,3,3,Q9UH99,5,SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2 PE=1 SV=3,SUN2,80.3,372,6.73
PWWP2A,755,27,4,4,4,Q96N64,8,PWWP domain-containing protein 2A OS=Homo sapiens GN=PWWP2A PE=1 SV=2,PWWP2A,81.9,371,9.0
ABCG2,655,12,2,2,2,Q9UNQ0,3,ATP-binding cassette sub-family G member 2 OS=Homo sapiens GN=ABCG2 PE=1 SV=3,ABCG2,72.3,370,8.69
ATN1,1190,19,3,3,3,P54259,6,Atrophin-1 OS=Homo sapiens GN=ATN1 PE=1 SV=3,ATN1,125.3,370,8.98
TRIM28,835,21,6,6,6,Q13263,12,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,TRIM28,88.5,370,5.77
MUC16,22152,30,2,2,2,Q8WXI7,1,Mucin-16 OS=Homo sapiens GN=MUC16 PE=1 SV=2,MUC16,2351.2,368,6.0
GPN3,284,18,2,2,2,Q9UHW5,7,GPN-loop GTPase 3 OS=Homo sapiens GN=GPN3 PE=1 SV=2,GPN3,32.7,361,4.5
QKI,341,23,2,2,2,Q96PU8,9,Protein quaking OS=Homo sapiens GN=QKI PE=1 SV=1,QKI,37.6,361,8.56
AIFM2,373,29,3,3,3,Q9BRQ8,8,Apoptosis-inducing factor 2 OS=Homo sapiens GN=AIFM2 PE=1 SV=1,AIFM2,40.5,359,9.11
MYO19,970,42,3,3,3,Q96H55,4,Unconventional myosin-XIX OS=Homo sapiens GN=MYO19 PE=2 SV=2,MYO19,109.1,356,7.71
EPB41L4B,900,21,2,2,2,Q9H329,2,Band 4.1-like protein 4B OS=Homo sapiens GN=EPB41L4B PE=2 SV=2,EPB41L4B,99.7,354,9.04
MRM1,353,39,3,3,3,Q6IN84,10,"rRNA methyltransferase 1, mitochondrial OS=Homo sapiens GN=MRM1 PE=1 SV=1",MRM1,38.6,352,7.94
BIRC2,618,30,5,5,5,Q13490,9,Baculoviral IAP repeat-containing protein 2 OS=Homo sapiens GN=BIRC2 PE=1 SV=2,BIRC2,69.9,352,6.7
PHF19,580,18,6,6,6,Q5T6S3,13,PHD finger protein 19 OS=Homo sapiens GN=PHF19 PE=1 SV=1,PHF19,65.5,350,8.84
EXOSC8,276,29,3,3,3,Q96B26,17,Exosome complex component RRP43 OS=Homo sapiens GN=EXOSC8 PE=1 SV=1,EXOSC8,30.0,348,5.3
CDKN2AIP,580,22,3,3,3,Q9NXV6,7,CDKN2A-interacting protein OS=Homo sapiens GN=CDKN2AIP PE=1 SV=3,CDKN2AIP,61.1,347,9.01
IMMT,758,27,4,4,4,Q16891,6,Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1,IMMT,83.6,346,6.48
CHD4,1912,40,15,15,12,Q14839,12,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2,CHD4,217.9,346,5.86
ARL6IP5,188,15,2,2,2,O75915,14,PRA1 family protein 3 OS=Homo sapiens GN=ARL6IP5 PE=1 SV=1,ARL6IP5,21.6,345,9.77
NF2,595,27,2,2,2,P35240,4,Merlin OS=Homo sapiens GN=NF2 PE=1 SV=1,NF2,69.6,344,6.47
PEX1,1283,23,4,4,4,O43933,4,Peroxisome biogenesis factor 1 OS=Homo sapiens GN=PEX1 PE=1 SV=1,PEX1,142.8,339,6.33
LAMB3,1172,13,3,3,3,Q13751,3,Laminin subunit beta-3 OS=Homo sapiens GN=LAMB3 PE=1 SV=1,LAMB3,129.5,334,7.21
NOL7,257,68,3,3,3,Q9UMY1,10,Nucleolar protein 7 OS=Homo sapiens GN=NOL7 PE=1 SV=2,NOL7,29.4,333,9.67
SLC25A17,307,13,5,5,5,O43808,17,Peroxisomal membrane protein PMP34 OS=Homo sapiens GN=SLC25A17 PE=1 SV=1,SLC25A17,34.5,331,10.08
TCF7L2,602,26,4,4,4,Q9NQB0-7,8,Isoform 7 of Transcription factor 7-like 2 OS=Homo sapiens GN=TCF7L2,TCF7L2,66.1,330,8.9
POLD1,1107,37,10,10,10,P28340,10,DNA polymerase delta catalytic subunit OS=Homo sapiens GN=POLD1 PE=1 SV=2,POLD1,123.6,328,7.03
CTR9,1173,30,4,4,4,Q6PD62,5,RNA polymerase-associated protein CTR9 homolog OS=Homo sapiens GN=CTR9 PE=1 SV=1,CTR9,133.4,327,6.77
ZCCHC8,707,27,8,8,8,Q6NZY4,18,Zinc finger CCHC domain-containing protein 8 OS=Homo sapiens GN=ZCCHC8 PE=1 SV=2,ZCCHC8,78.5,323,4.87
ZNF598,904,10,3,3,3,Q86UK7,5,Zinc finger protein 598 OS=Homo sapiens GN=ZNF598 PE=1 SV=1,ZNF598,98.6,323,8.4
RNMTL1,420,26,5,5,4,Q9HC36,13,RNA methyltransferase-like protein 1 OS=Homo sapiens GN=RNMTL1 PE=1 SV=2,RNMTL1,47.0,323,8.73
TIMM44,452,10,3,3,3,O43615,8,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens GN=TIMM44 PE=1 SV=2,TIMM44,51.3,321,8.32
TNRC18,2968,19,3,3,3,O15417,1,Trinucleotide repeat-containing gene 18 protein OS=Homo sapiens GN=TNRC18 PE=1 SV=3,TNRC18,314.3,319,8.7
LANCL1,399,23,4,4,4,O43813,12,LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1,LANCL1,45.3,319,7.75
CALML5,146,14,4,4,4,Q9NZT1,45,Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2,CALML5,15.9,316,4.44
ARHGAP39,1083,21,4,4,4,Q9C0H5,6,Rho GTPase-activating protein 39 OS=Homo sapiens GN=ARHGAP39 PE=1 SV=2,ARHGAP39,121.2,314,7.5
SCMH1,660,12,2,2,2,Q96GD3,6,Polycomb protein SCMH1 OS=Homo sapiens GN=SCMH1 PE=1 SV=1,SCMH1,73.3,313,9.25
ARG1,322,18,2,2,2,P05089,10,Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2,ARG1,34.7,309,7.21
MRPS2,296,11,2,2,2,Q9Y399,6,"28S ribosomal protein S2, mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1",MRPS2,33.2,303,9.26
TMEM214,689,33,4,4,4,Q6NUQ4,5,Transmembrane protein 214 OS=Homo sapiens GN=TMEM214 PE=1 SV=2,TMEM214,77.1,297,9.14
TMED2,201,26,2,2,2,Q15363,10,Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1,TMED2,22.7,295,5.17
PAPD5,698,24,6,6,6,Q8NDF8-5,15,Isoform 5 of Non-canonical poly(A) RNA polymerase PAPD5 OS=Homo sapiens GN=PAPD5,PAPD5,75.8,292,9.38
AZGP1,298,7,2,2,2,P25311,10,Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2,AZGP1,34.2,292,6.05
SLC35B2,432,12,3,3,3,Q8TB61,7,Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1,SLC35B2,47.5,292,9.16
DARS2,645,22,2,2,2,Q6PI48,7,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",DARS2,73.5,286,8.02
ARHGEF17,2063,14,7,7,7,Q96PE2,5,Rho guanine nucleotide exchange factor 17 OS=Homo sapiens GN=ARHGEF17 PE=1 SV=1,ARHGEF17,221.5,285,6.29
POGZ,1410,17,7,7,7,Q7Z3K3,7,Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ PE=1 SV=2,POGZ,155.2,284,7.4
ZNF644,1327,18,8,8,8,Q9H582,9,Zinc finger protein 644 OS=Homo sapiens GN=ZNF644 PE=1 SV=2,ZNF644,149.5,283,8.16
MYOF,2061,16,7,7,7,Q9NZM1,4,Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,MYOF,234.6,282,6.18
PHB,272,13,3,3,3,P35232,13,Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1,PHB,29.8,280,5.76
MRPS26,205,12,2,2,2,Q9BYN8,14,"28S ribosomal protein S26, mitochondrial OS=Homo sapiens GN=MRPS26 PE=1 SV=1",MRPS26,24.2,280,10.39
FAM208B,2430,21,8,8,8,Q5VWN6,5,Protein FAM208B OS=Homo sapiens GN=FAM208B PE=1 SV=1,FAM208B,268.7,279,5.9
RBM19,960,12,3,3,3,Q9Y4C8,4,Probable RNA-binding protein 19 OS=Homo sapiens GN=RBM19 PE=1 SV=3,RBM19,107.3,277,6.54
SLC27A2,620,18,2,2,2,O14975,5,Very long-chain acyl-CoA synthetase OS=Homo sapiens GN=SLC27A2 PE=1 SV=2,SLC27A2,70.3,276,8.51
PPP1R10,940,29,3,3,3,Q96QC0,8,Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens GN=PPP1R10 PE=1 SV=1,PPP1R10,99.0,275,9.17
CCNYL1,359,24,3,3,2,Q8N7R7,10,Cyclin-Y-like protein 1 OS=Homo sapiens GN=CCNYL1 PE=1 SV=2,CCNYL1,40.7,274,6.07
MICA,383,31,3,3,3,Q29983,9,MHC class I polypeptide-related sequence A OS=Homo sapiens GN=MICA PE=1 SV=1,MICA,42.9,274,6.98
NVL,856,12,4,4,4,O15381,7,Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1,NVL,95.0,274,6.48
ZCRB1,217,12,2,2,2,Q8TBF4,9,Zinc finger CCHC-type and RNA-binding motif-containing protein 1 OS=Homo sapiens GN=ZCRB1 PE=1 SV=2,ZCRB1,24.6,274,8.53
UNC45A,944,19,4,4,4,Q9H3U1,6,Protein unc-45 homolog A OS=Homo sapiens GN=UNC45A PE=1 SV=1,UNC45A,103.0,270,6.07
RRP9,475,23,5,5,5,O43818,20,U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1,RRP9,51.8,270,7.85
MTG1,334,25,5,5,5,Q9BT17,15,Mitochondrial ribosome-associated GTPase 1 OS=Homo sapiens GN=MTG1 PE=1 SV=2,MTG1,37.2,269,9.47
TAMM41,452,33,4,4,4,Q96BW9,13,Mitochondrial translocator assembly and maintenance protein 41 homolog OS=Homo sapiens GN=TAMM41 PE=1 SV=2,TAMM41,51.0,269,7.94
WWTR1,400,27,3,3,3,Q9GZV5,15,WW domain-containing transcription regulator protein 1 OS=Homo sapiens GN=WWTR1 PE=1 SV=1,WWTR1,44.1,269,5.82
Q3ZBS7,484,36,2,2,2,Q3ZBS7,4,TREMBL:Q3ZBS7 (Bos taurus) Vitronectin,,54.1,267,6.16
GPRC5A,357,30,3,3,3,Q8NFJ5,15,Retinoic acid-induced protein 3 OS=Homo sapiens GN=GPRC5A PE=1 SV=2,GPRC5A,40.2,266,8.15
CDCA7L,454,11,2,2,2,Q96GN5,6,Cell division cycle-associated 7-like protein OS=Homo sapiens GN=CDCA7L PE=1 SV=2,CDCA7L,52.2,266,5.74
DAP3,398,17,2,2,2,P51398,9,"28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 PE=1 SV=1",DAP3,45.5,259,8.88
TIMM23,209,7,2,2,2,O14925,19,Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=1 SV=1,TIMM23,21.9,255,8.6
ANAPC7,599,50,3,3,3,Q9UJX3,5,Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 PE=1 SV=4,ANAPC7,66.8,254,5.64
TGM1,817,18,4,4,4,P22735,6,Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens GN=TGM1 PE=1 SV=4,TGM1,89.7,251,6.04
CLPX,633,23,6,6,6,O76031,11,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=2",CLPX,69.2,249,7.58
PHLDB2,1253,24,5,5,5,Q86SQ0,5,Pleckstrin homology-like domain family B member 2 OS=Homo sapiens GN=PHLDB2 PE=1 SV=2,PHLDB2,142.1,248,7.43
L2HGDH,463,30,4,4,4,Q9H9P8,9,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=L2HGDH PE=1 SV=3",L2HGDH,50.3,247,8.15
COPE,308,21,4,4,4,O14579,24,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3,COPE,34.5,246,5.12
PNO1,252,10,2,2,2,Q9NRX1,10,RNA-binding protein PNO1 OS=Homo sapiens GN=PNO1 PE=1 SV=1,PNO1,27.9,245,9.73
DNAJC16,782,28,5,5,5,Q9Y2G8,7,DnaJ homolog subfamily C member 16 OS=Homo sapiens GN=DNAJC16 PE=2 SV=3,DNAJC16,90.5,244,7.12
PHC1,1004,13,4,4,4,P78364,9,Polyhomeotic-like protein 1 OS=Homo sapiens GN=PHC1 PE=1 SV=3,PHC1,105.5,240,9.03
TUBGCP4,667,15,2,2,2,Q9UGJ1,4,Gamma-tubulin complex component 4 OS=Homo sapiens GN=TUBGCP4 PE=1 SV=1,TUBGCP4,76.0,239,6.65
ITGB1,798,18,2,2,2,P05556,3,Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2,ITGB1,88.4,239,5.39
PDLIM7,457,10,3,3,3,Q9NR12,8,PDZ and LIM domain protein 7 OS=Homo sapiens GN=PDLIM7 PE=1 SV=1,PDLIM7,49.8,233,8.41
MRPS9,396,19,2,2,2,P82933,7,"28S ribosomal protein S9, mitochondrial OS=Homo sapiens GN=MRPS9 PE=1 SV=2",MRPS9,45.8,233,9.51
LGALS7,136,8,5,5,5,P47929,43,Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2,LGALS7,15.1,233,7.62
SRPRB,271,13,2,2,2,Q9Y5M8,10,Signal recognition particle receptor subunit beta OS=Homo sapiens GN=SRPRB PE=1 SV=3,SRPRB,29.7,232,9.04
MLLT10,1027,13,2,2,2,P55197-1,4,Isoform 1 of Protein AF-10 OS=Homo sapiens GN=MLLT10,MLLT10,109.0,229,8.38
MSI2,328,20,4,4,4,Q96DH6,14,RNA-binding protein Musashi homolog 2 OS=Homo sapiens GN=MSI2 PE=1 SV=1,MSI2,35.2,228,8.48
RAB32,225,13,2,2,2,Q13637,11,Ras-related protein Rab-32 OS=Homo sapiens GN=RAB32 PE=1 SV=3,RAB32,25.0,225,6.54
LARP4B,738,23,5,5,5,Q92615,9,La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3,LARP4B,80.5,224,6.92
RLF,1914,18,2,2,2,Q13129,2,Zinc finger protein Rlf OS=Homo sapiens GN=RLF PE=1 SV=2,RLF,217.8,222,6.77
FRS2,508,11,2,2,2,Q8WU20,8,Fibroblast growth factor receptor substrate 2 OS=Homo sapiens GN=FRS2 PE=1 SV=4,FRS2,57.0,221,5.96
MAP7D1,841,28,4,4,4,Q3KQU3,6,MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1 PE=1 SV=1,MAP7D1,92.8,220,10.11
SMC5,1101,18,2,2,2,Q8IY18,2,Structural maintenance of chromosomes protein 5 OS=Homo sapiens GN=SMC5 PE=1 SV=2,SMC5,128.7,219,8.38
VDAC1,283,27,3,3,3,P21796,11,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,VDAC1,30.8,218,8.54
DSC1,840,9,6,6,5,Q08554-2,9,Isoform 1B of Desmocollin-1 OS=Homo sapiens GN=DSC1,DSC1,93.8,217,5.53
HSPB8,196,33,4,4,4,Q9UJY1,22,Heat shock protein beta-8 OS=Homo sapiens GN=HSPB8 PE=1 SV=1,HSPB8,21.6,217,5.12
SDCCAG3,435,14,2,2,2,Q96C92,11,Serologically defined colon cancer antigen 3 OS=Homo sapiens GN=SDCCAG3 PE=1 SV=3,SDCCAG3,47.9,216,5.14
ALDH18A1,795,9,3,3,3,P54886,3,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,ALDH18A1,87.2,216,7.12
CSTA,98,6,2,2,2,P01040,26,Cystatin-A OS=Homo sapiens GN=CSTA PE=1 SV=1,CSTA,11.0,213,5.5
TFE3,575,14,5,5,3,P19532,14,Transcription factor E3 OS=Homo sapiens GN=TFE3 PE=1 SV=4,TFE3,61.5,212,5.58
SLC27A3,730,25,2,2,2,Q5K4L6,6,Long-chain fatty acid transport protein 3 OS=Homo sapiens GN=SLC27A3 PE=2 SV=3,SLC27A3,78.6,209,7.49
ZNF395,513,12,3,3,3,Q9H8N7,11,Zinc finger protein 395 OS=Homo sapiens GN=ZNF395 PE=1 SV=2,ZNF395,54.9,209,7.43
ZKSCAN8,578,17,2,2,2,Q15776,3,Zinc finger protein with KRAB and SCAN domains 8 OS=Homo sapiens GN=ZKSCAN8 PE=1 SV=2,ZKSCAN8,65.8,207,7.39
CPSF4,269,20,4,4,4,O95639,25,Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens GN=CPSF4 PE=1 SV=1,CPSF4,30.2,207,8.31
FBRSL1,1045,14,3,3,3,Q9HCM7,5,Fibrosin-1-like protein OS=Homo sapiens GN=FBRSL1 PE=1 SV=4,FBRSL1,110.8,207,9.67
MYO1G,1018,9,5,5,5,B0I1T2,6,Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2,MYO1G,116.4,206,8.73
WDR46,610,12,3,3,3,O15213,7,WD repeat-containing protein 46 OS=Homo sapiens GN=WDR46 PE=1 SV=3,WDR46,68.0,206,9.67
LARP4,724,26,3,3,3,Q71RC2,6,La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3,LARP4,80.5,204,6.61
NDUFA5,116,17,2,2,2,Q16718,16,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=NDUFA5 PE=1 SV=3,NDUFA5,13.5,202,5.99
IQGAP3,1631,6,2,2,2,Q86VI3,3,Ras GTPase-activating-like protein IQGAP3 OS=Homo sapiens GN=IQGAP3 PE=1 SV=2,IQGAP3,184.6,200,7.65
FASTKD5,764,26,5,5,5,Q7L8L6,7,FAST kinase domain-containing protein 5 OS=Homo sapiens GN=FASTKD5 PE=1 SV=1,FASTKD5,86.5,200,8.13
CDC7,574,15,2,2,2,O00311,3,Cell division cycle 7-related protein kinase OS=Homo sapiens GN=CDC7 PE=1 SV=1,CDC7,63.8,198,8.73
MRPL22,206,12,5,5,5,Q9NWU5,27,"39S ribosomal protein L22, mitochondrial OS=Homo sapiens GN=MRPL22 PE=1 SV=1",MRPL22,23.6,197,9.94
GPATCH11,259,18,4,4,4,Q8N954,19,G patch domain-containing protein 11 OS=Homo sapiens GN=GPATCH11 PE=1 SV=3,GPATCH11,30.2,197,5.24
MSANTD3,275,10,2,2,2,Q96H12,11,Myb/SANT-like DNA-binding domain-containing protein 3 OS=Homo sapiens GN=MSANTD3 PE=1 SV=1,MSANTD3,32.3,197,8.37
TXNL4A,142,21,2,2,2,P83876,13,Thioredoxin-like protein 4A OS=Homo sapiens GN=TXNL4A PE=1 SV=1,TXNL4A,16.8,196,5.85
PDE8B,885,15,4,4,2,O95263,7,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B OS=Homo sapiens GN=PDE8B PE=1 SV=2",PDE8B,98.9,195,6.83
TAF9,264,19,2,2,2,Q16594,6,Transcription initiation factor TFIID subunit 9 OS=Homo sapiens GN=TAF9 PE=1 SV=1,TAF9,29.0,195,8.66
POLR2E,210,28,2,2,2,P19388,8,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=4",POLR2E,24.5,194,5.95
NSMCE2,247,13,3,3,3,Q96MF7,14,E3 SUMO-protein ligase NSE2 OS=Homo sapiens GN=NSMCE2 PE=1 SV=2,NSMCE2,27.9,192,7.74
PEX6,980,15,3,3,3,Q13608,5,Peroxisome assembly factor 2 OS=Homo sapiens GN=PEX6 PE=1 SV=2,PEX6,104.0,192,6.34
ECT2,914,10,4,4,4,Q9H8V3,8,Protein ECT2 OS=Homo sapiens GN=ECT2 PE=1 SV=4,ECT2,103.4,191,7.71
TSPO,169,29,3,3,3,P30536,23,Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=3,TSPO,18.8,191,9.36
ZNF276,614,10,2,2,2,Q8N554,4,Zinc finger protein 276 OS=Homo sapiens GN=ZNF276 PE=1 SV=4,ZNF276,67.2,190,8.51
POLR2A,1970,19,7,7,7,P24928,5,DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens GN=POLR2A PE=1 SV=2,POLR2A,217.0,188,7.37
GTF3C2,911,24,6,6,5,Q8WUA4,10,General transcription factor 3C polypeptide 2 OS=Homo sapiens GN=GTF3C2 PE=1 SV=2,GTF3C2,100.6,186,7.31
IMP4,291,11,2,2,2,Q96G21,6,U3 small nucleolar ribonucleoprotein protein IMP4 OS=Homo sapiens GN=IMP4 PE=1 SV=1,IMP4,33.7,185,9.47
CYB5R3,301,11,3,3,3,P00387,11,NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3,CYB5R3,34.2,185,7.59
RTN4,1192,7,2,2,2,Q9NQC3,4,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,RTN4,129.9,185,4.5
