Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
CCDC12,166,16,3,3,3,Q8WUD4,27,Coiled-coil domain-containing protein 12 OS=Homo sapiens OX=9606 GN=CCDC12 PE=1 SV=1,CCDC12,19.2,526,6805446.83333333,9402166.66666667,5030437.33333333,466515.666666667,1952672.25,1690687.66666667
RPS29,56,23,2,2,2,P62273,32,40S ribosomal protein S29 OS=Homo sapiens OX=9606 GN=RPS29 PE=1 SV=2,RPS29,6.7,524,119119268.0,105009918.5,137306522.5,32529971.875,36001884.0,140529820.0
MDC1,2089,30,12,12,12,Q14676,11,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,MDC1,226.5,523,9992793.33333333,13391076.6666667,4052190.16666667,6807466.83333333,5026362.0,7188129.83333333
CCDC59,241,18,3,3,3,Q9P031,12,Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens OX=9606 GN=CCDC59 PE=1 SV=2,CCDC59,28.7,518,10528383.3333333,13208956.6666667,11257205.0,10550475.3333333,11119929.0,10090291.3333333
CLTB,229,30,7,7,7,P09497,24,Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1,CLTB,25.2,517,23645898.0,45245229.3333333,2968914.66666667,25023845.3333333,24123919.3333333,12307713.6666667
KIF18B,852,26,7,7,6,Q86Y91,11,Kinesin-like protein KIF18B OS=Homo sapiens OX=9606 GN=KIF18B PE=1 SV=4,KIF18B,93.0,514,41842043.3333333,48994182.5416667,38877877.3125,15975173.3333333,14246702.7083333,47347764.0
ERBIN,1412,29,11,11,11,Q96RT1,10,Erbin OS=Homo sapiens OX=9606 GN=ERBIN PE=1 SV=2,ERBIN,158.2,512,7387256.83333333,5151872.66666667,4720361.58333333,4907072.0,4338693.5,3965431.75
RAN,216,25,5,5,5,P62826,25,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN,24.4,512,84654312.0,78825242.6666667,67973856.0,42430490.6666667,45936650.6666667,49436163.3333333
G3BP2,482,32,7,7,7,Q9UN86,20,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2,G3BP2,54.1,509,10914430.0,14215355.6666667,9501295.83333333,9767877.66666667,9554856.33333333,10174056.0
DDX39A,427,24,4,4,4,O00148,9,ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,DDX39A,49.1,506,10800738.0833333,10037084.6666667,10283784.6666667,5424632.125,4040087.375,7325525.45833333
PHF12,1004,28,8,8,8,Q96QT6,10,PHD finger protein 12 OS=Homo sapiens OX=9606 GN=PHF12 PE=1 SV=2,PHF12,109.6,506,14433004.1666667,12399066.25,13780231.8333333,4699315.66666667,7850117.5,14055860.5
CWC22,908,23,9,9,9,Q9HCG8,9,Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens OX=9606 GN=CWC22 PE=1 SV=3,CWC22,105.4,505,245875896.916667,152737614.333333,195307353.5,278609563.375,6530442.79166667,217741192.541667
NCOA5,579,28,6,6,6,Q9HCD5,11,Nuclear receptor coactivator 5 OS=Homo sapiens OX=9606 GN=NCOA5 PE=1 SV=2,NCOA5,65.5,505,11994179.0,14515581.6666667,11116881.6666667,7478107.33333333,9356630.33333333,8772974.0
RAB8A,207,23,4,4,2,P61006,20,Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,RAB8A,23.7,501,4096739.5,4516884.0,2958233.5,2315920.25,4084413.25,3465722.5
ALX1,326,21,6,6,6,Q15699,21,ALX homeobox protein 1 OS=Homo sapiens OX=9606 GN=ALX1 PE=1 SV=2,ALX1,36.9,500,10163968.0,12663036.1666667,8074864.33333333,8089705.58333333,4942177.66666667,7624980.33333333
FAU,133,13,2,2,2,P62861,8,FAU ubiquitin-like and ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2,FAU,14.4,499,85112971.5,97550271.5,64425888.0,67172691.25,55794915.625,73994384.0
MRPS22,360,24,3,3,3,P82650,9,"28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1",MRPS22,41.3,499,5501391.5,6558437.5,4429718.83333333,4364709.25,3844828.16666667,3897102.5
CSNK2A2,350,32,6,6,4,P19784,21,Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1,CSNK2A2,41.2,497,,,,,,615478.083333333
RPS28,69,17,3,3,3,P62857,46,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,RPS28,7.8,495,16407666.1666667,37687278.6666667,8950065.79166667,5338237.83333333,10638446.3333333,7806152.0
ZNF687,1237,21,9,9,9,Q8N1G0,12,Zinc finger protein 687 OS=Homo sapiens OX=9606 GN=ZNF687 PE=1 SV=1,ZNF687,129.4,489,16725342.1666667,24746862.0,12408473.25,27449218.75,23597148.4583333,9349518.29166667
RBM19,960,19,7,7,7,Q9Y4C8,9,Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3,RBM19,107.3,489,4557533.25,4202017.58333333,3470963.58333333,2594556.04166667,1943806.16666667,1126823.75
CORO2A,525,21,7,7,7,Q92828,11,Coronin-2A OS=Homo sapiens OX=9606 GN=CORO2A PE=1 SV=2,CORO2A,59.7,489,16300110.0,18785884.0,11886409.3333333,10814603.0,10828972.3333333,10978510.5
HTATSF1,755,37,10,10,10,O43719,13,HIV Tat-specific factor 1 OS=Homo sapiens OX=9606 GN=HTATSF1 PE=1 SV=1,HTATSF1,85.8,487,17725883.0,10100434.6666667,10476084.6666667,3994275.25,6546484.66666667,10361981.75
TERF2IP,399,15,3,3,3,Q9NYB0,10,Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1,TERF2IP,44.2,487,5668937.16666667,4212399.16666667,3811782.5,8165987.66666667,6284893.25,4903136.66666667
MYO5A,1855,17,2,2,2,Q9Y4I1,1,Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=2,MYO5A,215.3,485,2802445.125,1650349.125,1562338.375,972109.6875,1623739.0625,1621398.0
PATZ1,687,17,3,3,2,Q9HBE1,4,"POZ-, AT hook-, and zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=PATZ1 PE=1 SV=1",PATZ1,74.0,484,4109584.875,6938592.125,2261733.25,6724062.25,4375581.5,3957966.125
FANCM,2048,26,10,10,10,Q8IYD8,7,Fanconi anemia group M protein OS=Homo sapiens OX=9606 GN=FANCM PE=1 SV=2,FANCM,232.0,483,4034915.5,4105262.33333333,5898173.33333333,3510356.70833333,2167084.08333333,1130211.0
CPS1,1500,18,4,4,4,P31327,3,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",CPS1,164.8,481,2798898.66666667,2118595.66666667,2228572.91666667,1080300.60416667,,1502584.33333333
PITX1,314,15,4,4,4,P78337,17,Pituitary homeobox 1 OS=Homo sapiens OX=9606 GN=PITX1 PE=1 SV=2,PITX1,34.1,480,9787047.5,9576027.33333333,6768637.66666667,6716921.33333333,8111636.5,8520087.33333333
AFDN,1824,23,6,6,6,P55196,5,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,AFDN,206.7,476,4858373.5,5505758.0,4397569.08333333,3376610.58333333,3431002.25,3653323.33333333
GTF2H4,462,18,7,7,7,Q92759,17,General transcription factor IIH subunit 4 OS=Homo sapiens OX=9606 GN=GTF2H4 PE=1 SV=1,GTF2H4,52.2,476,5990718.33333333,9157495.5,4444760.33333333,10254950.6666667,6039228.16666667,1885555.66666667
PPIL1,166,25,2,2,2,Q9Y3C6,14,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens OX=9606 GN=PPIL1 PE=1 SV=1,PPIL1,18.2,473,11477407.5,14685501.0,10720083.5,7686218.5,5465933.25,6542832.75
GTF2H1,548,24,8,8,8,P32780,19,General transcription factor IIH subunit 1 OS=Homo sapiens OX=9606 GN=GTF2H1 PE=1 SV=1,GTF2H1,62.0,471,3028026.03125,4556866.83333333,2148996.16666667,3649234.25,3034506.20833333,1281519.08333333
ARNTL,626,22,7,7,7,O00327,13,Aryl hydrocarbon receptor nuclear translocator-like protein 1 OS=Homo sapiens OX=9606 GN=ARNTL PE=1 SV=2,ARNTL,68.7,470,9022626.66666667,9947575.83333333,6231392.5,7771144.16666667,7863489.16666667,9563472.33333333
PHB2,299,16,2,2,2,Q99623,7,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,PHB2,33.3,469,2868005.625,3205415.5,2985521.4375,2859617.6875,2596212.25,2471894.9375
HMG20B,317,19,9,9,9,Q9P0W2,26,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related OS=Homo sapiens OX=9606 GN=HMG20B PE=1 SV=1,HMG20B,35.8,468,14379764.3333333,14777729.6666667,13591078.0,15636668.6666667,22065049.3333333,27896914.0
KRAS,189,20,3,3,3,P01116,19,GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1,KRAS,21.6,467,27202849.0,36065643.0,29676176.0,27483460.25,25421529.125,25337318.0
CTNNBL1,563,21,3,3,3,Q8WYA6,4,Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,CTNNBL1,65.1,464,2810548.75,2368634.75,973996.5,1164902.91666667,716299.958333333,1407557.20833333
SURF4,269,15,3,3,3,O15260,15,Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,SURF4,30.4,464,4907435.16666667,5015559.0,4445387.5,2945745.41666667,1834372.75,634160.041666667
AKAP17A,695,26,6,6,6,Q02040,7,A-kinase anchor protein 17A OS=Homo sapiens OX=9606 GN=AKAP17A PE=1 SV=2,AKAP17A,80.7,461,9315048.66666667,12293319.0,57175918.1666667,6139653.83333333,4635641.66666667,79463952.0
MAZ,477,25,5,5,4,P56270,10,Myc-associated zinc finger protein OS=Homo sapiens OX=9606 GN=MAZ PE=1 SV=1,MAZ,48.6,459,25914664.4166667,25510754.5,21555216.6666667,24023441.6666667,27449604.6666667,35242562.6666667
MRM3,420,25,5,5,5,Q9HC36,10,"rRNA methyltransferase 3, mitochondrial OS=Homo sapiens OX=9606 GN=MRM3 PE=1 SV=2",MRM3,47.0,458,8681681.16666667,9759158.41666667,8498464.33333333,5685814.85416667,6635050.20833333,8334101.66666667
LARP4,724,16,3,3,2,Q71RC2,3,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,LARP4,80.5,453,2215943.5,1838995.125,,,,
TBRG1,411,11,2,2,2,Q3YBR2,6,Transforming growth factor beta regulator 1 OS=Homo sapiens OX=9606 GN=TBRG1 PE=1 SV=1,TBRG1,44.9,452,,,,,,
ARHGAP21,1958,26,10,10,10,Q5T5U3,7,Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2,ARHGAP21,217.3,452,9439071.41666667,8792617.5,1430899.16666667,,5593092.33333333,9131757.58333333
ING1,422,11,2,2,2,Q9UK53,5,Inhibitor of growth protein 1 OS=Homo sapiens OX=9606 GN=ING1 PE=1 SV=2,ING1,46.7,451,1115001.25,,922579.25,1055612.875,1433945.5,1847803.125
SINHCAF,221,16,3,3,3,Q9NP50,19,SIN3-HDAC complex-associated factor OS=Homo sapiens OX=9606 GN=SINHCAF PE=1 SV=1,SINHCAF,24.8,450,4786555.41666667,5425163.83333333,3619752.16666667,5607280.25,5493114.83333333,3861276.33333333
CD2BP2,341,15,2,2,2,O95400,7,CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,CD2BP2,37.6,448,6044720.625,6868217.125,3498784.75,3482142.1875,3029286.25,
KDM4C,1056,15,5,5,4,Q9H3R0,5,Lysine-specific demethylase 4C OS=Homo sapiens OX=9606 GN=KDM4C PE=1 SV=2,KDM4C,119.9,444,,,,,,1061883.0
LPCAT1,534,33,4,4,4,Q8NF37,8,Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=2,LPCAT1,59.1,444,6470272.33333333,6080551.83333333,4371241.25,3754139.33333333,3889752.83333333,4429597.0
GNG10,68,35,4,4,3,P50151,62,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1,GNG10,7.2,442,7681216.0,6237440.0,5810541.33333333,4664131.25,6204039.33333333,5567541.33333333
CPSF6,551,12,3,3,3,Q16630,6,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2,CPSF6,59.2,441,5020815.5,6079449.0,2162588.25,3669486.83333333,1985432.58333333,2537162.25
ESCO2,601,35,8,8,8,Q56NI9,16,N-acetyltransferase ESCO2 OS=Homo sapiens OX=9606 GN=ESCO2 PE=1 SV=1,ESCO2,68.3,441,72450963.4166667,92303410.5833333,74935674.1666667,64700632.1666667,58082277.3333333,68347156.3333333
RBM6,1123,29,11,11,10,P78332,10,RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5,RBM6,128.6,434,55829504.375,89735801.6666667,48742456.0833333,64168966.9583333,70949337.6666667,35531781.71875
DECR1,335,16,3,3,3,Q16698,14,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1",DECR1,36.0,433,5589680.66666667,7444776.25,4071351.0,5347067.5,4955369.79166667,4983402.75
HEATR1,2144,19,2,2,2,Q9H583,1,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,HEATR1,242.2,432,2745973.75,4265178.0,2761980.5,2418642.5,2942609.5,2473478.25
IRX4,519,20,6,6,6,P78413,18,Iroquois-class homeodomain protein IRX-4 OS=Homo sapiens OX=9606 GN=IRX4 PE=1 SV=2,IRX4,54.4,431,8968905.16666667,8093455.16666667,8307270.0,5216729.33333333,3698091.875,5796225.0
C19orf47,422,24,7,7,7,Q8N9M1,27,Uncharacterized protein C19orf47 OS=Homo sapiens OX=9606 GN=C19orf47 PE=1 SV=1,C19orf47,44.7,427,11139050.1666667,15730594.3333333,10486466.6666667,4473740.0,6870006.41666667,11936275.8333333
DPM1,260,20,5,5,5,O60762,25,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1,DPM1,29.6,426,22925951.3333333,21635894.6666667,14674878.6666667,15844871.0,12905439.0,16098898.6666667
INTS6,887,15,4,4,4,Q9UL03,4,Integrator complex subunit 6 OS=Homo sapiens OX=9606 GN=INTS6 PE=1 SV=1,INTS6,100.3,425,2514572.875,2678137.5,2272374.91666667,2021863.91666667,1587267.08333333,1817861.20833333
SPIN3,258,20,4,4,2,Q5JUX0,21,Spindlin-3 OS=Homo sapiens OX=9606 GN=SPIN3 PE=1 SV=1,SPIN3,29.2,422,,,,,,
KLF13,288,18,4,4,4,Q9Y2Y9,20,Krueppel-like factor 13 OS=Homo sapiens OX=9606 GN=KLF13 PE=1 SV=1,KLF13,31.2,422,10363503.1666667,11696041.0,9702668.0,24525140.0,25330678.0,29430160.6666667
SLC25A11,314,31,4,4,4,Q02978,11,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3,SLC25A11,34.0,420,9066946.41666667,8628936.16666667,8355829.5,6478406.5,7103299.33333333,8759236.20833333
KAT8,458,27,3,3,2,Q9H7Z6,8,Histone acetyltransferase KAT8 OS=Homo sapiens OX=9606 GN=KAT8 PE=1 SV=2,KAT8,52.4,418,10182519.75,13906328.0,10091449.5,8778925.25,7138848.25,6979371.0
SCAF1,1312,26,8,8,8,Q9H7N4,8,"Splicing factor, arginine/serine-rich 19 OS=Homo sapiens OX=9606 GN=SCAF1 PE=1 SV=3",SCAF1,139.2,416,4794419.66666667,6326090.66666667,4560798.0,5670726.0,7039287.5,4672460.125
LARP7,582,20,6,6,6,Q4G0J3,10,La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1,LARP7,66.9,415,5451915.16666667,9016163.16666667,6988993.5,2118797.91666667,5711295.16666667,3818431.5
CREB3L2,520,18,7,7,7,Q70SY1,16,Cyclic AMP-responsive element-binding protein 3-like protein 2 OS=Homo sapiens OX=9606 GN=CREB3L2 PE=1 SV=3,CREB3L2,57.4,414,43632378.0,46721820.6666667,29879824.3333333,28470867.3333333,17374279.3333333,27623825.6666667
ATP6V0D1,351,17,4,4,4,P61421,15,V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1,ATP6V0D1,40.3,409,8380693.875,8613197.75,6433662.0,5348330.66666667,4641512.77083333,6668301.0
CAAP1,361,18,5,5,5,Q9H8G2,17,Caspase activity and apoptosis inhibitor 1 OS=Homo sapiens OX=9606 GN=CAAP1 PE=1 SV=2,CAAP1,38.3,404,128376846.166667,144257398.0,120752561.5,122200090.166667,111995987.083333,108563145.75
EHMT2,1210,15,7,7,6,Q96KQ7,7,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=3,EHMT2,132.3,403,2980817.91666667,6716498.33333333,4370851.5,3261294.41666667,2195977.91666667,3461048.0
HMGB1,215,15,4,4,3,P09429,21,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,HMGB1,24.9,402,1541755.83333333,2791020.25,1598484.625,33710179.3333333,32935997.0,26901755.6666667
KPNA6,536,20,4,4,4,O60684,8,Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,KPNA6,60.0,400,6993420.16666667,7760756.5,4506576.0,4243230.08333333,3345019.58333333,2979033.0
ING5,240,18,4,4,2,Q8WYH8,20,Inhibitor of growth protein 5 OS=Homo sapiens OX=9606 GN=ING5 PE=1 SV=1,ING5,27.7,397,3297246.5,2095032.25,3813839.0,2028431.75,1330116.0,1976505.75
CLOCK,846,20,8,8,8,O15516,11,Circadian locomoter output cycles protein kaput OS=Homo sapiens OX=9606 GN=CLOCK PE=1 SV=1,CLOCK,95.2,390,11263476.6666667,17867316.6666667,8640335.0,10996919.6666667,11710865.6666667,11709271.3333333
FAM133B,247,12,3,3,3,Q5BKY9,13,Protein FAM133B OS=Homo sapiens OX=9606 GN=FAM133B PE=1 SV=1,FAM133B,28.4,390,26719344.0,26702769.8333333,21137551.1666667,15419951.1666667,10746053.6666667,17301666.1666667
MYOF,2061,19,11,11,11,Q9NZM1,6,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,MYOF,234.6,389,2267450.75,2970803.83333333,4954398.83333333,834094.916666667,2605006.0,3922359.08333333
IGF2BP1,577,20,6,6,4,Q9NZI8,12,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,IGF2BP1,63.4,388,2745851.5,4302627.0,3531027.875,2408490.5,1516852.45833333,1943081.25
UTP15,518,13,4,4,4,Q8TED0,8,U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3,UTP15,58.4,388,2068973.66666667,6717529.33333333,5058717.08333333,3164142.91666667,2122122.20833333,2772193.5
MRPS34,218,22,3,3,3,P82930,13,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS34 PE=1 SV=2",MRPS34,25.6,387,21697823.8333333,13306332.0,13423900.5833333,14331719.125,19829869.875,22372535.4166667
ARG1,322,22,3,3,3,P05089,9,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,ARG1,34.7,386,14695716.875,10734119.7083333,9760070.66666667,6825420.125,8107125.75,7886095.33333333
SOAT1,550,26,7,7,7,P35610,17,Sterol O-acyltransferase 1 OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=3,SOAT1,64.7,383,12854482.1666667,13377576.3333333,9001238.5,10912498.4166667,7276471.83333333,5833429.66666667
RAE1,368,20,4,4,4,P78406,13,mRNA export factor RAE1 OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,40.9,381,3743389.41666667,8199185.41666667,2681293.25,3887431.33333333,3413782.33333333,2504638.75
RACK1,317,19,2,2,2,P63244,6,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,RACK1,35.1,380,6042949.25,3882433.25,2410605.0,4534014.25,3681996.75,3206026.0
TCF20,1960,35,14,14,14,Q9UGU0,10,Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,TCF20,211.6,378,11650370.1666667,10366461.0,10059585.75,5888500.08333333,7294995.83333333,8879895.75
GOLGA7,137,11,2,2,2,Q7Z5G4,17,Golgin subfamily A member 7 OS=Homo sapiens OX=9606 GN=GOLGA7 PE=1 SV=2,GOLGA7,15.8,378,26981624.5,15214476.0,14802714.25,11209558.875,10936139.375,3312857.625
FBXL6,539,17,8,8,8,Q8N531,21,F-box/LRR-repeat protein 6 OS=Homo sapiens OX=9606 GN=FBXL6 PE=2 SV=2,FBXL6,58.5,377,8577880.5,11266604.3333333,7022197.5,17293268.3333333,17670589.6666667,18684788.6666667
APOBEC3B,382,18,4,4,4,Q9UH17,15,DNA dC->dU-editing enzyme APOBEC-3B OS=Homo sapiens OX=9606 GN=APOBEC3B PE=1 SV=1,APOBEC3B,45.9,375,13120985.6666667,15436610.6666667,11482290.6666667,2601491.41666667,886425.666666667,6015162.58333333
BICRA,1560,18,6,6,6,Q9NZM4,5,BRD4-interacting chromatin-remodeling complex-associated protein OS=Homo sapiens OX=9606 GN=BICRA PE=1 SV=2,BICRA,158.4,373,,,,,,
BARD1,777,24,8,8,8,Q99728,10,BRCA1-associated RING domain protein 1 OS=Homo sapiens OX=9606 GN=BARD1 PE=1 SV=2,BARD1,86.6,372,19534124.3333333,25757249.3333333,15499905.6666667,16434411.6666667,13931082.6666667,16261290.5
RANBP2,3224,23,12,12,12,P49792,4,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,RANBP2,358.0,371,7295857.33333333,8043300.83333333,6949863.83333333,2731938.66666667,2536260.58333333,3400325.0
NDUFA9,377,19,2,2,2,Q16795,4,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA9 PE=1 SV=2",NDUFA9,42.5,369,9287524.5,9675568.75,4895891.25,6131456.5,7849304.25,7375191.625
ZNF131,623,25,5,5,5,P52739,12,Zinc finger protein 131 OS=Homo sapiens OX=9606 GN=ZNF131 PE=1 SV=2,ZNF131,71.4,368,3373054.33333333,3294972.58333333,2688717.6875,1415429.95833333,1376415.77083333,774927.583333333
RPF2,306,24,4,4,4,Q9H7B2,16,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,RPF2,35.6,368,18028183.6666667,13558856.6666667,13604499.6666667,15711947.6666667,7440974.33333333,15458306.6666667
FOSL1,271,22,6,6,6,P15407,28,Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,FOSL1,29.4,367,10617851.1666667,13353334.0,7923540.16666667,24943159.125,34782274.1666667,27407561.3333333
RPS15,145,22,3,3,3,P62841,30,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,RPS15,17.0,356,27292288.7083333,52421654.5833333,35494208.0104167,30760070.625,25183328.5208333,20174296.875
SNRPG,76,17,4,4,4,P62308,36,Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1,SNRPG,8.5,354,44420334.0,70113486.6666667,24977370.0,19935543.0,28784704.3333333,27972048.7083333
CPSF7,471,17,4,4,4,Q8N684,9,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1,CPSF7,52.0,354,4308559.5,6368756.66666667,3944178.33333333,4133108.08333333,4529388.33333333,2836556.66666667
ATP5F1C,298,21,5,5,5,P36542,17,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",ATP5F1C,33.0,354,23211288.6666667,29602960.6666667,15922018.1666667,18264105.5,10812633.5,24254665.0
DHCR7,475,18,4,4,4,Q9UBM7,11,7-dehydrocholesterol reductase OS=Homo sapiens OX=9606 GN=DHCR7 PE=1 SV=1,DHCR7,54.5,353,14060731.5833333,12755034.9166667,8771944.16666667,9523881.5,7821911.54166667,7410631.66666667
TOMM22,142,7,2,2,2,Q9NS69,16,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3,TOMM22,15.5,353,7374516.75,1441831.375,8665112.1875,1015014.375,,9320958.0
RPP25,199,19,3,3,3,Q9BUL9,20,Ribonuclease P protein subunit p25 OS=Homo sapiens OX=9606 GN=RPP25 PE=1 SV=1,RPP25,20.6,352,2323933.16666667,6253837.58333333,4046887.33333333,4250981.25,4331548.25,4232227.5
TCF7L2,619,10,2,2,2,Q9NQB0,3,Transcription factor 7-like 2 OS=Homo sapiens OX=9606 GN=TCF7L2 PE=1 SV=2,TCF7L2,67.9,349,45539821.5,42124871.5,45414182.0,13029935.25,15181118.75,41998811.25
KIDINS220,1771,13,4,4,4,Q9ULH0,3,Kinase D-interacting substrate of 220 kDa OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=3,KIDINS220,196.4,347,1952569.0625,1534112.625,1076845.625,1923958.8125,1079104.5,829286.4375
SUDS3,328,26,7,7,7,Q9H7L9,19,Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens OX=9606 GN=SUDS3 PE=1 SV=2,SUDS3,38.1,347,16056642.5,16734539.5,13380389.1666667,9883799.83333333,12332417.8333333,18550065.1666667
PRSS21,314,14,3,3,3,Q9Y6M0,12,Testisin OS=Homo sapiens OX=9606 GN=PRSS21 PE=1 SV=1,PRSS21,34.9,347,3938004.75,5391747.91666667,4113733.58333333,3946286.54166667,5624415.75,3943408.83333333
PHGDH,533,18,2,2,2,O43175,4,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,PHGDH,56.6,345,3539034.5,4175557.25,2938341.125,1031268.0,2301798.25,2104498.4375
HMGN4,90,32,2,2,2,O00479,12,High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens OX=9606 GN=HMGN4 PE=1 SV=3,HMGN4,9.5,344,88305582.4375,63563303.421875,77924414.75,52276603.0,35082101.4375,63843896.0
MTBP,904,29,6,6,6,Q96DY7,7,Mdm2-binding protein OS=Homo sapiens OX=9606 GN=MTBP PE=1 SV=1,MTBP,102.1,344,3437252.5,3294872.0,5625566.33333333,4051876.0,3922457.58333333,4589544.5
